                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.96487,                 1.3915,                 0.7991,                0.91922,                0.84985,                0.82866,                0.90598,                0.66111,                0.81517,                0.81372,                0.88586,                0.58813,                0.97054,                 1.3957,                0.84284,                0.92419,              0.0014855,              0.0014855,              0.0014855
                     47,                0.96332,                 1.3942,                0.80162,                 0.9067,                0.83392,                0.83563,                0.89473,                0.64796,                  0.849,                0.84581,                0.90989,                0.63538,                0.98223,                 1.3474,                0.80053,                0.93056,              0.0014813,              0.0014813,              0.0014813
                     48,                 1.0006,                 1.4849,                0.80505,                0.93383,                 0.8595,                0.82078,                0.89321,                0.65858,                0.87064,                0.83307,                0.89967,                 0.5932,                0.98538,                 1.4395,                 0.7868,                0.93585,              0.0014772,              0.0014772,              0.0014772
                     49,                0.94189,                 1.3377,                0.75913,                0.90608,                 0.8665,                0.80285,                0.87683,                0.65088,                0.87086,                0.80647,                0.87849,                0.61765,                0.92449,                 1.3509,                0.77057,                0.93762,              0.0014731,              0.0014731,              0.0014731
                     50,                0.90626,                 1.4093,                0.74378,                0.90699,                0.84358,                0.81792,                0.87866,                0.66216,                 0.8528,                0.83233,                0.88857,                0.59913,                 0.9448,                 1.4019,                0.76802,                0.93255,               0.001469,               0.001469,               0.001469
                     51,                0.92736,                 1.2724,                0.74537,                0.91511,                0.84498,                0.82982,                0.89121,                0.67952,                0.85304,                0.83706,                0.90092,                0.61209,                0.87545,                 1.4691,                0.74566,                0.91772,              0.0014648,              0.0014648,              0.0014648
                     52,                0.91909,                  1.284,                0.73364,                0.89645,                0.82679,                0.85375,                0.89772,                0.65523,                0.83413,                0.86099,                0.90899,                0.59679,                 1.0256,                 1.3838,                0.77138,                0.92865,              0.0014607,              0.0014607,              0.0014607
                     53,                0.93491,                 1.3114,                0.72799,                0.90795,                0.78824,                 0.8526,                0.88964,                0.66604,                0.80983,                0.85138,                0.89163,                0.61984,                0.91613,                 1.3171,                0.78328,                0.91448,              0.0014566,              0.0014566,              0.0014566
                     54,                0.87644,                 1.2356,                0.69034,                0.90212,                0.86801,                0.80779,                0.89263,                 0.6771,                0.84959,                0.81999,                0.89656,                0.61705,                0.90315,                 1.2814,                0.74606,                0.91718,              0.0014525,              0.0014525,              0.0014525
                     55,                0.90791,                 1.2857,                 0.6958,                0.90493,                 0.8269,                0.87343,                0.89771,                0.66293,                0.83363,                0.88068,                 0.9018,                0.63967,                0.97701,                 1.2544,                0.75209,                0.92483,              0.0014483,              0.0014483,              0.0014483
                     56,                0.94127,                 1.3686,                0.73914,                0.92999,                0.82555,                0.85206,                0.89281,                0.67912,                0.84931,                0.81142,                0.88837,                0.61283,                0.89411,                 1.2816,                0.78398,                0.91366,              0.0014442,              0.0014442,              0.0014442
                     57,                0.87159,                 1.2551,                0.70599,                0.89876,                 0.7906,                0.86241,                0.88004,                0.63654,                0.80184,                 0.8737,                0.88783,                0.61141,                0.96765,                 1.3271,                0.78831,                0.93881,              0.0014401,              0.0014401,              0.0014401
                     58,                0.86136,                 1.2753,                0.68641,                0.88944,                0.83112,                0.83446,                0.89523,                0.67225,                 0.8435,                0.84609,                0.90319,                0.64528,                0.90713,                 1.2895,                0.73452,                0.93074,               0.001436,               0.001436,               0.001436
                     59,                 0.9009,                 1.3196,                0.72944,                0.90079,                0.82157,                0.83678,                0.90016,                0.69021,                0.81471,                 0.8396,                0.89551,                0.62381,                0.89728,                 1.3063,                0.76596,                0.92825,              0.0014318,              0.0014318,              0.0014318
                     60,                 0.9073,                  1.289,                0.72464,                 0.9066,                0.84847,                0.81009,                0.88511,                0.66545,                0.86793,                0.82096,                0.88711,                0.62523,                0.96273,                 1.3469,                0.79152,                0.93223,              0.0014277,              0.0014277,              0.0014277
                     61,                0.96528,                 1.3493,                0.73996,                0.93129,                0.79528,                0.83068,                0.85155,                 0.6443,                0.81086,                0.81257,                0.85268,                0.57945,                0.95047,                  1.423,                0.83435,                0.94583,              0.0014236,              0.0014236,              0.0014236
                     62,                0.94356,                 1.3038,                0.74156,                0.90513,                0.76384,                 0.8055,                0.79417,                0.57273,                0.76033,                0.80665,                 0.7976,                0.53893,                0.99866,                 1.3205,                0.98465,                0.93602,              0.0014195,              0.0014195,              0.0014195
                     63,                0.93632,                 1.3256,                0.75887,                0.93153,                 0.8086,                0.81437,                0.87435,                0.66413,                0.82659,                0.82886,                0.88653,                0.61932,                0.90261,                 1.3137,                0.78373,                0.92706,              0.0014153,              0.0014153,              0.0014153
                     64,                0.94642,                 1.2811,                 0.7575,                0.91157,                0.82978,                0.82344,                0.87418,                 0.6428,                0.82616,                0.84307,                0.88683,                0.61403,                 1.0239,                 1.4289,                0.76214,                0.94582,              0.0014112,              0.0014112,              0.0014112
                     65,                0.92684,                 1.3078,                0.72983,                0.90093,                0.77522,                0.82246,                0.88456,                 0.6778,                0.80372,                0.82422,                0.89354,                0.62555,                0.88827,                 1.3055,                0.76235,                0.92218,              0.0014071,              0.0014071,              0.0014071
