                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.87478,                  1.288,                0.80431,                 0.9005,                0.73126,                0.78306,                0.81789,                0.54576,                0.71797,                0.79839,                0.83444,                0.47679,                 0.9172,                 1.3474,                0.87237,                0.92713,              0.0012911,              0.0012911,              0.0012911
                     42,                0.89428,                 1.2925,                0.81278,                0.91285,                0.72294,                0.74789,                0.83794,                 0.5322,                0.74903,                0.74156,                0.83834,                0.48256,                0.95867,                 1.4415,                0.98496,                 0.9524,              0.0012875,              0.0012875,              0.0012875
                     43,                0.86734,                 1.1977,                0.77677,                0.90027,                0.72995,                0.76748,                0.83081,                0.54471,                0.75263,                0.77637,                0.85022,                0.48939,                0.92572,                 1.3548,                0.88672,                0.94662,               0.001284,               0.001284,               0.001284
                     44,                0.86445,                 1.2398,                0.78371,                0.89003,                0.71024,                0.80332,                0.82767,                0.55121,                 0.7098,                0.79077,                0.82726,                0.48771,                0.92305,                 1.4119,                0.84989,                0.94309,              0.0012805,              0.0012805,              0.0012805
                     45,                0.85393,                 1.2537,                0.76325,                0.90123,                0.73414,                0.73434,                0.80453,                0.55694,                0.73414,                0.73434,                0.81218,                0.49088,                0.90529,                 1.3276,                0.83922,                 0.9266,              0.0012769,              0.0012769,              0.0012769
                     46,                0.84763,                 1.2376,                0.75125,                0.89904,                0.75142,                 0.7776,                0.83593,                0.57258,                0.73508,                0.76895,                0.82932,                 0.4947,                0.89513,                 1.4322,                0.77931,                0.91934,              0.0012734,              0.0012734,              0.0012734
                     47,                  0.872,                 1.2427,                0.77834,                0.89383,                0.79529,                 0.7723,                0.84789,                0.57815,                0.80691,                0.77636,                0.85747,                0.51591,                0.88416,                 1.3064,                0.75409,                0.91759,              0.0012698,              0.0012698,              0.0012698
                     48,                0.87098,                 1.3599,                0.76473,                 0.9105,                0.80341,                0.76633,                0.82561,                0.56499,                0.80085,                0.76463,                0.83434,                0.49337,                0.94051,                  1.392,                 0.7672,                0.93161,              0.0012663,              0.0012663,              0.0012663
                     49,                0.90082,                 1.3232,                0.74229,                0.90556,                0.76192,                0.77028,                 0.7871,                0.55504,                0.76726,                0.75223,                 0.7984,                0.47711,                0.88328,                 1.3514,                0.76834,                 0.9258,              0.0012628,              0.0012628,              0.0012628
                     50,                0.82541,                 1.2796,                0.72579,                0.88906,                0.73342,                0.75947,                0.81864,                0.55481,                0.78709,                0.72924,                0.83635,                0.50596,                0.91001,                 1.3471,                0.77835,                0.92287,              0.0012592,              0.0012592,              0.0012592
                     51,                0.83619,                 1.2197,                0.71221,                0.89793,                0.75708,                0.75845,                0.82336,                0.57269,                0.78356,                0.77266,                0.84083,                0.52615,                0.86337,                 1.3053,                 0.8138,                0.91508,              0.0012557,              0.0012557,              0.0012557
                     52,                0.86929,                 1.2341,                 0.7314,                0.89711,                 0.7924,                0.76583,                0.81478,                 0.5626,                0.82515,                0.78093,                0.84272,                0.50635,                0.94863,                 1.4085,                0.80885,                0.93601,              0.0012522,              0.0012522,              0.0012522
                     53,                0.89601,                 1.3049,                0.75288,                0.91496,                 0.8333,                0.70592,                0.83073,                0.59126,                 0.7571,                  0.786,                0.84727,                 0.5153,                0.86419,                 1.3052,                0.79886,                0.91416,              0.0012486,              0.0012486,              0.0012486
                     54,                0.84552,                 1.2099,                 0.7063,                0.90454,                 0.7722,                0.75451,                0.82626,                0.57573,                0.79904,                0.76799,                0.84328,                 0.5117,                0.86006,                 1.3138,                0.78048,                0.91178,              0.0012451,              0.0012451,              0.0012451
                     55,                 0.8388,                 1.2634,                0.70433,                0.89839,                0.77441,                 0.7824,                0.82246,                0.55657,                0.77271,                 0.7606,                 0.8246,                0.48352,                0.90366,                 1.3148,                0.79185,                0.92427,              0.0012416,              0.0012416,              0.0012416
                     56,                0.86442,                 1.2535,                0.77037,                0.91834,                0.73629,                0.82608,                0.82603,                0.57634,                0.73325,                0.82374,                0.83786,                0.51201,                0.90383,                 1.3228,                0.80073,                 0.9234,               0.001238,               0.001238,               0.001238
                     57,                  0.824,                  1.176,                0.71195,                0.89407,                0.75875,                0.78718,                0.81169,                   0.56,                0.75578,                0.78344,                0.81992,                0.48506,                 0.9001,                 1.3512,                0.77245,                0.91932,              0.0012345,              0.0012345,              0.0012345
                     58,                0.85243,                 1.2256,                0.68288,                0.88672,                0.76767,                0.76952,                0.83334,                0.56124,                0.77186,                0.77051,                0.84193,                0.46156,                0.90781,                 1.3481,                0.81786,                0.92099,              0.0012309,              0.0012309,              0.0012309
                     59,                0.86096,                 1.2502,                0.73952,                0.90399,                0.72647,                0.77972,                0.79986,                0.57597,                0.73475,                0.79934,                0.82312,                0.49728,                0.87478,                 1.3885,                0.82983,                0.92226,              0.0012274,              0.0012274,              0.0012274
                     60,                0.83795,                 1.2037,                0.73709,                0.89854,                0.82515,                0.78282,                0.82987,                0.57009,                0.85393,                0.78378,                0.85749,                0.51161,                0.93001,                 1.3169,                0.77532,                0.93391,              0.0012239,              0.0012239,              0.0012239
                     61,                0.86856,                 1.2275,                0.74534,                0.90593,                0.78487,                0.76366,                0.82419,                0.56875,                0.78677,                0.76886,                0.83032,                0.47439,                0.90042,                 1.4473,                  0.814,                0.94142,              0.0012203,              0.0012203,              0.0012203
                     62,                0.87499,                 1.2533,                  0.734,                0.90952,                0.76095,                0.79319,                0.81217,                0.53598,                0.76095,                0.79319,                 0.8249,                0.44595,                0.95006,                 1.4247,                0.87864,                0.94141,              0.0012168,              0.0012168,              0.0012168
                     63,                0.85391,                 1.2109,                0.71832,                0.91625,                0.72069,                0.79985,                0.81391,                0.55533,                0.70689,                0.81129,                  0.823,                0.47193,                0.89199,                 1.4127,                0.84307,                 0.9404,              0.0012133,              0.0012133,              0.0012133
                     64,                0.87723,                 1.2838,                0.73631,                0.90245,                0.75876,                 0.7972,                0.81663,                0.54816,                0.73795,                0.80817,                 0.8332,                0.47268,                0.97473,                 1.4282,                0.79791,                 0.9447,              0.0012097,              0.0012097,              0.0012097
                     65,                 0.8727,                 1.2567,                0.71219,                0.90063,                0.69801,                0.84907,                0.82642,                0.56361,                0.71487,                0.86742,                0.84706,                0.48208,                0.89459,                 1.3322,                0.73847,                0.93177,              0.0012062,              0.0012062,              0.0012062
                     66,                0.84681,                 1.2198,                 0.6739,                0.89397,                0.66692,                0.85692,                0.82287,                0.55737,                0.66692,                0.85692,                 0.8313,                0.45729,                0.93358,                 1.4734,                 0.7421,                0.94214,              0.0012026,              0.0012026,              0.0012026
                     67,                0.81618,                 1.1976,                0.67123,                0.89801,                0.72101,                0.82287,                0.82823,                0.57662,                0.73351,                0.83758,                0.85085,                0.50284,                0.88579,                 1.3059,                0.71102,                0.92043,              0.0011991,              0.0011991,              0.0011991
                     68,                0.91336,                 1.2804,                0.87379,                0.90951,                0.72529,                0.80886,                0.83309,                0.56162,                0.72805,                0.79806,                0.82917,                0.46651,                0.90044,                 1.4886,                0.72075,                0.92685,              0.0011956,              0.0011956,              0.0011956
                     69,                0.86383,                 1.2279,                0.66577,                0.90187,                0.75371,                0.81204,                0.83644,                0.55542,                0.74816,                0.80085,                0.83692,                0.48066,                0.94715,                 1.4311,                0.73701,                0.93768,               0.001192,               0.001192,               0.001192
