                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.83356,                 1.2145,                0.62687,                 0.8888,                0.84714,                0.86567,                0.89617,                0.66636,                0.84714,                0.86567,                0.91396,                0.60881,                0.91047,                 1.3053,                0.65296,                0.93393,              0.0013576,              0.0013576,              0.0013576
                     78,                0.83559,                  1.158,                 0.6072,                0.90186,                 0.8563,                0.83958,                0.88279,                 0.6428,                 0.8563,                0.83958,                0.88741,                0.58003,                0.90677,                 1.3833,                0.69013,                0.94577,              0.0013534,              0.0013534,              0.0013534
                     79,                0.83067,                 1.1911,                0.61737,                0.89457,                0.82267,                 0.8845,                0.87207,                0.64785,                0.80812,                0.86898,                0.87778,                0.59077,                0.88789,                 1.2416,                0.67489,                0.94429,              0.0013493,              0.0013493,              0.0013493
                     80,                0.78865,                 1.0969,                0.63014,                0.88708,                0.83612,                0.85586,                0.90009,                0.67483,                0.84748,                 0.8654,                0.90827,                0.60327,                0.86832,                 1.2903,                0.64119,                0.92757,              0.0013452,              0.0013452,              0.0013452
                     81,                0.85311,                 1.2153,                0.60649,                0.88359,                0.86067,                0.85505,                0.89008,                0.67057,                0.87165,                0.86451,                0.90573,                0.60753,                0.92982,                 1.3749,                0.67272,                0.94164,              0.0013411,              0.0013411,              0.0013411
                     82,                 0.8288,                 1.1794,                0.60245,                 0.8795,                0.80339,                 0.9068,                0.89404,                0.68282,                0.81334,                0.90774,                0.91525,                0.60091,                0.88259,                 1.3453,                0.67152,                0.92903,              0.0013369,              0.0013369,              0.0013369
                     83,                0.83751,                 1.1566,                0.61089,                0.89408,                0.81203,                0.89254,                  0.904,                0.68748,                0.82562,                0.90503,                0.92667,                0.61114,                0.90235,                   1.33,                0.65196,                0.92942,              0.0013328,              0.0013328,              0.0013328
                     84,                0.79068,                 1.1434,                0.60023,                0.87917,                0.86326,                0.87677,                0.90826,                0.67523,                0.86361,                0.90018,                0.91092,                0.59599,                0.92096,                 1.3418,                0.63758,                 0.9238,              0.0013287,              0.0013287,              0.0013287
                     85,                0.81263,                  1.192,                0.60523,                0.89921,                0.81924,                0.90032,                 0.8982,                0.67763,                0.81667,                0.90527,                0.90753,                0.60089,                0.89776,                 1.3746,                0.69196,                 0.9253,              0.0013246,              0.0013246,              0.0013246
                     86,                0.81961,                 1.1541,                0.59646,                0.90014,                0.82655,                0.87989,                0.90181,                0.67335,                0.82173,                0.87427,                0.91452,                0.61485,                0.88808,                 1.2981,                0.68405,                0.92936,              0.0013204,              0.0013204,              0.0013204
                     87,                0.77546,                 1.0793,                0.55467,                0.87344,                0.81981,                0.89604,                0.89389,                0.65128,                0.80478,                0.88052,                0.89283,                0.57152,                 0.9236,                   1.38,                 0.6551,                0.95474,              0.0013163,              0.0013163,              0.0013163
                     88,                0.79238,                  1.149,                0.59051,                0.88194,                 0.8286,                0.88052,                0.88457,                0.65289,                0.82591,                0.87954,                0.88983,                 0.5925,                0.89535,                 1.3048,                  0.657,                0.95521,              0.0013122,              0.0013122,              0.0013122
                     89,                0.79784,                 1.1457,                0.59871,                0.87896,                0.80975,                0.88721,                0.87958,                0.64102,                0.86768,                0.87046,                  0.903,                0.58027,                0.96716,                 1.3718,                0.68037,                0.96242,              0.0013081,              0.0013081,              0.0013081
                     90,                0.80475,                 1.1315,                0.58264,                0.89118,                0.80256,                0.85015,                0.88267,                0.65795,                0.77382,                 0.8848,                 0.8823,                0.59762,                0.88438,                 1.2951,                0.65779,                0.95349,              0.0013039,              0.0013039,              0.0013039
                     91,                0.83086,                 1.1579,                0.59785,                0.87575,                0.76327,                 0.8824,                0.88426,                 0.6437,                0.75874,                0.87678,                 0.8835,                0.55163,                0.93315,                 1.3922,                0.68276,                 0.9566,              0.0012998,              0.0012998,              0.0012998
                     92,                0.78743,                 1.1478,                0.56727,                0.87919,                0.76749,                0.87146,                0.90073,                0.66733,                0.78648,                0.86023,                0.90353,                0.59588,                 0.9266,                 1.3576,                0.65373,                0.96576,              0.0012957,              0.0012957,              0.0012957
                     93,                0.78336,                 1.0932,                0.58316,                0.87374,                0.87933,                0.84116,                0.91457,                0.67877,                0.87778,                0.84496,                0.92746,                0.59482,                0.89498,                 1.3891,                0.63309,                0.95622,              0.0012915,              0.0012915,              0.0012915
                     94,                0.76468,                 1.0966,                0.54695,                0.88191,                0.87251,                0.87057,                0.90187,                0.67161,                0.85459,                0.87062,                0.90575,                0.59865,                0.91316,                 1.3573,                 0.6341,                0.95305,              0.0012874,              0.0012874,              0.0012874
                     95,                0.76291,                 1.0827,                 0.5514,                0.88657,                0.86966,                0.85981,                0.89743,                0.67042,                0.87616,                0.87062,                0.91642,                0.59326,                0.89968,                 1.2863,                0.63425,                0.95591,              0.0012833,              0.0012833,              0.0012833
                     96,                0.79313,                 1.1194,                0.60174,                0.87992,                0.83024,                 0.8711,                0.88734,                0.63348,                0.82345,                0.82478,                0.87031,                0.57037,                0.97207,                 1.4549,                0.65782,                0.97284,              0.0012792,              0.0012792,              0.0012792
                     97,                0.78494,                 1.1081,                0.57588,                0.87454,                0.81185,                0.87825,                0.88143,                0.63974,                0.85534,                0.83765,                 0.8839,                0.57406,                0.95614,                 1.3975,                0.66709,                0.96753,               0.001275,               0.001275,               0.001275
                     98,                0.80169,                  1.147,                0.56214,                0.87786,                0.80589,                0.84931,                0.87447,                0.64236,                0.83669,                0.85081,                0.89289,                0.56133,                0.94918,                 1.6519,                0.66453,                0.97271,              0.0012709,              0.0012709,              0.0012709
                     99,                0.79544,                 1.0951,                0.57659,                0.87858,                0.75079,                0.85149,                0.86726,                0.63666,                0.79896,                0.83168,                0.89031,                0.53509,                0.93829,                 1.4779,                0.76427,                0.95704,              0.0012668,              0.0012668,              0.0012668
                    100,                0.82122,                 1.1975,                0.58008,                0.87765,                0.83693,                0.83036,                0.86435,                0.64374,                0.82036,                0.81744,                0.85764,                 0.5609,                 0.9404,                 1.4267,                  0.664,                0.95831,              0.0012627,              0.0012627,              0.0012627
                    101,                0.78409,                 1.1058,                0.56385,                0.87977,                0.82859,                0.84856,                0.88029,                0.65063,                0.82859,                0.84856,                0.88879,                0.59851,                0.94445,                 1.2616,                0.65955,                0.95143,              0.0012585,              0.0012585,              0.0012585
                    102,                0.80133,                  1.142,                0.59273,                 0.8774,                 0.7762,                0.87586,                0.87421,                0.63706,                0.78089,                0.88081,                0.88966,                0.55771,                0.95717,                 1.3315,                0.68269,                0.96203,              0.0012544,              0.0012544,              0.0012544
                    103,                0.76956,                 1.1143,                  0.548,                0.87259,                0.82254,                 0.8353,                0.87734,                 0.6439,                0.85518,                0.83035,                0.89025,                0.58689,                0.91799,                 1.2965,                0.64334,                0.95409,              0.0012503,              0.0012503,              0.0012503
                    104,                0.77837,                  1.072,                 0.5505,                 0.8754,                0.83664,                0.84587,                0.88271,                0.64339,                0.80806,                0.88016,                 0.8958,                0.57926,                0.95491,                  1.374,                0.65361,                0.95225,              0.0012462,              0.0012462,              0.0012462
                    105,                0.81247,                 1.1191,                0.59419,                0.90067,                0.84407,                0.86567,                0.88864,                0.65576,                0.84411,                  0.865,                0.89981,                0.57853,                0.92321,                 1.3193,                0.62088,                 0.9468,               0.001242,               0.001242,               0.001242
                    106,                0.77516,                 1.0552,                0.53292,                  0.868,                0.81509,                0.88325,                0.88075,                0.66486,                0.81844,                0.87557,                0.89534,                0.61307,                 0.9087,                 1.3031,                0.64841,                0.95225,              0.0012379,              0.0012379,              0.0012379
                    107,                0.76661,                 1.0657,                0.54145,                0.88121,                 0.7971,                0.89564,                0.89497,                0.65507,                0.84691,                0.85708,                0.90731,                0.59118,                0.97039,                 1.2997,                0.66024,                0.95388,              0.0012338,              0.0012338,              0.0012338
